표준코드,단축코드,한글 종목명,한글 종목약명
KR7011810009,11810,STX보통주,STX
KR7077970002,77970,STX엔진보통주,STX엔진
KR7071970008,71970,STX중공업보통주,STX중공업
KR7084870005,84870,TBH글로벌보통주,TBH글로벌
KR7002710002,2710,TCC스틸보통주,TCC스틸
KR7024070005,24070,WISCOM보통주,WISCOM
KR7079940003,79940,가비아,가비아
KR7078890001,78890,가온미디어,가온미디어
KR7000500009,500,가온전선보통주,가온전선
KR7036620003,36620,감성코퍼레이션,감성코퍼레이션
KR7000860007,860,강남제비스코보통주,강남제비스코
KR7217730001,217730,강스템바이오텍,강스템바이오텍
KR7035250000,35250,강원랜드보통주,강원랜드
KR7114190002,114190,강원에너지,강원에너지
KR7094480001,94480,갤럭시아머니트리,갤럭시아머니트리
KR7011420007,11420,갤럭시아에스엠보통주,갤럭시아에스엠
KR7039240007,39240,경남스틸,경남스틸
KR7053950002,53950,경남제약,경남제약
KR7002100006,2100,경농보통주,경농
KR7009450008,9450,경동나비엔보통주,경동나비엔
KR7267290005,267290,경동도시가스보통주,경동도시가스
KR7012320008,12320,경동인베스트보통주,경동인베스트
KR7011040003,11040,경동제약,경동제약
KR7000050005,50,경방보통주,경방
KR7214390007,214390,경보제약보통주,경보제약
KR7012610002,12610,경인양행보통주,경인양행
KR7009140005,9140,경인전자보통주,경인전자
KR7024910002,24910,경창산업,경창산업
KR7013580006,13580,계룡건설산업보통주,계룡건설
KR7012201000,12205,계양전기1우선주,계양전기우
KR7012200002,12200,계양전기보통주,계양전기
KR7002140002,2140,고려산업보통주,고려산업
KR7198440000,198440,고려시멘트,고려시멘트
KR7049720006,49720,고려신용정보,고려신용정보
KR7010130003,10130,고려아연보통주,고려아연
KR7002240000,2240,고려제강보통주,고려제강
KR7014570006,14570,고려제약,고려제약
KR7348150004,348150,고바이오랩,고바이오랩
KR7098460009,98460,고영테크놀러지,고영
KR7035290006,35290,골드앤에스,골드앤에스
KR7038530002,38530,골드퍼시픽,골드퍼시픽
KR7215000001,215000,골프존,골프존
KR7121440002,121440,골프존뉴딘홀딩스,골프존뉴딘홀딩스
KR7183410000,183410,골프존데카,골프존데카
KR7076340009,76340,관악산업,관악산업
KR7009290008,9290,광동제약보통주,광동제약
KR7014200000,14200,광림,광림
KR7017040007,17040,광명전기보통주,광명전기
KR7017900002,17900,광전자보통주,광전자
KR7037710001,37710,광주신세계보통주,광주신세계
KR7026910000,26910,광진실업,광진실업
KR7355150004,355150,교보10호기업인수목적,교보10호스팩
KR7397880006,397880,교보11호기업인수목적,교보11호스팩
KR7331520007,331520,교보9호기업인수목적,교보9호스팩
KR7030610000,30610,교보증권보통주,교보증권
KR7339770000,339770,교촌에프앤비보통주,교촌에프앤비
KR7053270005,53270,구영테크,구영테크
KR7007690001,7690,국도화학보통주,국도화학
KR7005320007,5320,국동보통주,국동
KR7066620006,66620,국보디자인,국보디자인
KR7001140003,1140,국보보통주,국보
KR7043650001,43650,국순당,국순당
KR7006050009,6050,국영지앤엠,국영지앤엠
KR7060480001,60480,국일신동,국일신동
KR7078130002,78130,국일제지,국일제지
KR7307750000,307750,국전약품,국전약품
KR7002720001,2720,국제약품보통주,국제약품
KR7243870003,243870,굿센,굿센
KR7114090004,114090,그랜드코리아레저보통주,GKL
HK0000307485,900290,그레이트리치과기유한공사,GRT
KR7204020002,204020,그리티,그리티
KR7083420000,83420,그린케미칼보통주,그린케미칼
KR7186230009,186230,그린플러스,그린플러스
KR7014530000,14530,극동유화보통주,극동유화
KR7083450007,83450,글로벌스탠다드테크놀로지,GST
KYG3931T1076,900070,글로벌에스엠테크리미티드,글로벌에스엠
KR7204620009,204620,글로벌텍스프리,글로벌텍스프리
KR7019660000,19660,글로본,글로본
KR7014281000,14285,금강공업1우선주,금강공업우
KR7014280002,14280,금강공업보통주,금강공업
KR7053260006,53260,금강철강,금강철강
KR7008870008,8870,금비보통주,금비
KR7001570001,1570,금양보통주,금양
KR7002991008,2995,금호건설1우선주,금호건설우
KR7002990000,2990,금호건설보통주,금호건설
KR7011781002,11785,금호석유화학1우선주,금호석유우
KR7011780004,11780,금호석유화학보통주,금호석유
KR7214330003,214330,금호에이치티보통주,금호에이치티
KR7001210004,1210,금호전기보통주,금호전기
KR7073240004,73240,금호타이어보통주,금호타이어
KR7036190007,36190,금화피에스시,금화피에스시
KR7049080005,49080,기가레인,기가레인
KR7035460005,35460,기산텔레콤,기산텔레콤
KR7092440007,92440,기신정기 보통주,기신정기
KR7000270009,270,기아보통주,기아
KR7013700000,13700,까뮤이앤씨보통주,까뮤이앤씨
KR7308100007,308100,까스텔바작,까스텔바작
KR7004541009,4545,깨끗한나라1우선주,깨끗한나라우
KR7004540001,4540,깨끗한나라보통주,깨끗한나라
KR7187790001,187790,나노,나노
KR7286750005,286750,나노브릭,나노브릭
KR7151910007,151910,나노스,나노스
KR7121600001,121600,나노신소재,나노신소재
KR7247660004,247660,나노씨엠에스,나노씨엠에스
KR7039860002,39860,나노엔텍,나노엔텍
KR7091970004,91970,나노캠텍,나노캠텍
KR7244880001,244880,나눔테크,나눔테크
KR7288490006,288490,나라소프트,나라소프트
KR7051490001,51490,나라엠앤디,나라엠앤디
KR7137080008,137080,나래나노텍,나래나노텍
KR7190510008,190510,나무가,나무가
KR7242040004,242040,나무기술,나무기술
KR7089600001,89600,나스미디어,나스미디어
KR7293580007,293580,나우아이비캐피탈,나우IB
KR7257990002,257990,나우코스,나우코스
KR7138610001,138610,나이벡,나이벡
KR7130580004,130580,나이스디앤비,나이스디앤비
KR7036800001,36800,나이스정보통신,나이스정보통신
KR7030190003,30190,나이스평가정보,NICE평가정보
KR7267320000,267320,나인테크,나인테크
KR7001260009,1260,남광토건보통주,남광토건
KR7008351009,8355,남선알미늄1우선주,남선알미우
KR7008350001,8350,남선알미늄보통주,남선알미늄
KR7004270005,4270,남성보통주,남성
KR7003921004,3925,남양유업1우선주,남양유업우
KR7003920006,3920,남양유업보통주,남양유업
KR7025860008,25860,남해화학보통주,남해화학
KR7111710000,111710,남화산업,남화산업
KR7091590000,91590,남화토건,남화토건
KR7168330009,168330,내츄럴엔도텍,내츄럴엔도텍
KR7094860004,94860,네오리진,네오리진
KR7253590004,253590,네오셈,네오셈
KR7212560007,212560,네오오토,네오오토
KR7095660007,95660,네오위즈,네오위즈
KR7042420000,42420,네오위즈홀딩스,네오위즈홀딩스
KR8840140006,950220,네오이뮨텍(Reg.S),네오이뮨텍(Reg.S)
KR7311390009,311390,네오크레마,네오크레마
KR7085910008,85910,네오티스,네오티스
KR7092730001,92730,네오팜,네오팜
KR7290660000,290660,네오펙트,네오펙트
KR7306620006,306620,네온테크,네온테크
KR7153460001,153460,네이블커뮤니케이션즈,네이블
KR7007390008,7390,네이처셀,네이처셀
KR7086220001,86220,네추럴에프앤피,네추럴FNP
KR7033640004,33640,네패스,네패스
KR7330860008,330860,네패스아크,네패스아크
KR7005721006,5725,넥센1우선주,넥센우
KR7005720008,5720,넥센보통주,넥센
