표준코드,단축코드,한글 종목명,한글 종목약명
KR7115390007,115390,락앤락보통주,락앤락
KR7200350007,200350,래몽래인,래몽래인
KR7171010002,171010,램테크놀러지,램테크놀러지
KR7084650001,84650,랩지노믹스,랩지노믹스
KR7217500008,217500,러셀,러셀
KR7092590009,92590,럭스피아,럭스피아
KR7141080002,141080,레고켐바이오사이언스,레고켐바이오
KR7060300001,60300,레드로버,레드로버
KR7038390001,38390,레드캡투어,레드캡투어
KR7294140009,294140,레몬,레몬
KR7228670006,228670,레이,레이
KR7228850004,228850,레이언스,레이언스
KR7281740001,281740,레이크머티리얼즈,레이크머티리얼즈
KR7277810008,277810,레인보우로보틱스,레인보우로보틱스
KR7179720008,179720,렌딩머신,렌딩머신
KR7215100009,215100,로보로보,로보로보
KR7090360009,90360,로보스타,로보스타
KR7238500003,238500,로보쓰리,로보쓰리
KR7108490004,108490,로보티즈,로보티즈
HK0000295359,900260,로스웰인터내셔널,로스웰
KR7223220005,223220,로지스몬,로지스몬
KR7067730002,67730,로지시스,로지시스
KR7071280002,71280,로체시스템즈,로체시스템즈
KR7032350001,32350,롯데관광개발 보통주,롯데관광개발
KR7089860001,89860,롯데렌탈보통주,롯데렌탈
KR7330590001,330590,롯데리츠보통주,롯데리츠
KR7000400002,400,롯데손해보험보통주,롯데손해보험
KR7023530009,23530,롯데쇼핑 보통주,롯데쇼핑
KR7004000006,4000,롯데정밀화학보통주,롯데정밀화학
KR7286940002,286940,롯데정보통신보통주,롯데정보통신
KR7280360009,280360,롯데제과보통주,롯데제과
KR700499K014,00499K,롯데지주1우선주,롯데지주우
KR7004990008,4990,롯데지주보통주,롯데지주
KR7005301007,5305,롯데칠성음료1우선주,롯데칠성우
KR7005300009,5300,롯데칠성음료보통주,롯데칠성
KR7011170008,11170,롯데케미칼보통주,롯데케미칼
KR7002270007,2270,롯데푸드보통주,롯데푸드
KR7071840003,71840,롯데하이마트보통주,롯데하이마트
KR7038060000,38060,루멘스,루멘스
KR7162120000,162120,루켄테크놀러지스,루켄테크놀러지스
KR7253610000,253610,루트락,루트락
KR7085370005,85370,루트로닉,루트로닉
KR708537K039,08537M,루트로닉3우선주(전환),루트로닉3우C
KR7060240009,60240,룽투코리아,룽투코리아
KR7058470006,58470,리노공업,리노공업
KR7039980008,39980,리노스,리노스
KR7019570001,19570,리더스 기술투자,리더스 기술투자
KR7016100000,16100,리더스코스메틱,리더스코스메틱
KR7012700001,12700,리드코프,리드코프
KR7302550009,302550,리메드,리메드
KR7377450002,377450,리파인,리파인
KR7029480001,29480,릭스솔루션,릭스솔루션
KR7277070009,277070,린드먼아시아인베스트먼트,린드먼아시아
KR7042500009,42500,링네트,링네트
KR7219420007,219420,링크제니시스,링크제니시스
KR7027740000,27740,마니커보통주,마니커
KR7195500004,195500,마니커에프앤지,마니커에프앤지
KR7222810004,222810,마이더스AI,마이더스AI
KR7305090003,305090,마이크로디지탈,마이크로디지탈
KR7147760003,147760,마이크로프랜드,마이크로프랜드
KR7377480009,377480,마인즈랩,마인즈랩
KR7169330008,169330,마크로밀엠브레인,엠브레인
KR7038290003,38290,마크로젠,마크로젠
KR7204320006,204320,만도보통주,만도
KR7001080001,1080,만호제강보통주,만호제강
KR7220630008,220630,맘스터치앤컴퍼니,맘스터치
KR7267980001,267980,매일유업,매일유업
KR7005990007,5990,매일홀딩스,매일홀딩스
KR7127160000,127160,매직마이크로,매직마이크로
KR7093520005,93520,매커스,매커스
KR7377030002,377030,맥스트,맥스트
KR7088980008,88980,맥쿼리한국인프라투융자회사 보통주,맥쿼리인프라
KR7100590009,100590,머큐리,머큐리
KR7067280008,67280,멀티캠퍼스,멀티캠퍼스
KR7072870009,72870,메가스터디,메가스터디
KR7215200007,215200,메가스터디교육,메가스터디교육
KR7133750000,133750,메가엠디,메가엠디
KR7235980000,235980,메드팩토,메드팩토
KR7200580009,200580,메디쎄이,메디쎄이
KR7041920000,41920,메디아나,메디아나
KR7233250000,233250,메디안디노스틱,메디안디노스틱
KR7014100002,14100,메디앙스,메디앙스
KR7236340006,236340,메디젠휴먼케어,메디젠휴먼케어
KR7054180005,54180,메디콕스,메디콕스
KR7086900008,86900,메디톡스,메디톡스
KR7078160009,78160,메디포스트,메디포스트
KR7065650004,65650,메디프론디비티,메디프론
KR7138040001,138040,메리츠금융지주회사보통주,메리츠금융지주
KR7008560005,8560,메리츠증권보통주,메리츠증권
KR7000060004,60,메리츠화재해상보험보통주,메리츠화재
KR7021880000,21880,메이슨캐피탈,메이슨캐피탈
KR7140410002,140410,메지온,메지온
KR7241770007,241770,메카로,메카로
KR7090370008,90370,메타랩스보통주,메타랩스
KR7059210005,59210,메타바이오메드,메타바이오메드
KR7058110008,58110,멕아이씨에스,멕아이씨에스
KR7096640008,96640,멜파스,멜파스
KR7017180001,17180,명문제약 보통주,명문제약
KR7257370007,257370,명성티엔에스,명성티엔에스
KR7009900002,9900,명신산업보통주,명신산업
KR7267060002,267060,명진홀딩스,명진홀딩스
KR7012690004,12690,모나리자보통주,모나리자
KR7005360003,5360,모나미보통주,모나미
KR7080420003,80420,모다이노칩,모다이노칩
KR7080160005,80160,모두투어네트워크,모두투어
KR7204210009,204210,모두투어리츠보통주,모두투어리츠
KR7100030006,100030,모바일리더,모바일리더
KR7087260006,87260,모바일어플라이언스,모바일어플라이언스
KR7101330009,101330,모베이스,모베이스
KR7012860003,12860,모베이스전자,모베이스전자
KR7348030008,348030,모비릭스,모비릭스
KR7250060001,250060,모비스,모비스
KR7033200007,33200,모아텍,모아텍
KR7009680000,9680,모토닉보통주,모토닉
KR7118990001,118990,모트렉스,모트렉스
KR7006920003,6920,모헨즈,모헨즈
KR7001810001,1810,무림에스피,무림SP
KR7009200007,9200,무림페이퍼보통주,무림페이퍼
KR7009580002,9580,무림피앤피보통주,무림P&P
KR7322970005,322970,무진메디,무진메디
KR7033920000,33920,무학보통주,무학
KR7008420002,8420,문배철강보통주,문배철강
KR7279600001,279600,미디어젠,미디어젠
KR7095500005,95500,미래나노텍,미래나노텍
KR7025560004,25560,미래산업보통주,미래산업
KR7218150001,218150,미래생명자원,미래생명자원
KR7007120009,7120,미래아이앤지보통주,미래아이앤지
KR7396690000,396690,미래에셋글로벌리츠보통주,미래에셋글로벌리츠
KR7353490006,353490,미래에셋대우기업인수목적 5호,미래에셋대우스팩 5호
KR7328380001,328380,미래에셋대우기업인수목적3호,미래에셋대우스팩3호
KR7357250000,357250,미래에셋맵스리츠보통주,미래에셋맵스리츠
KR7094800000,94800,미래에셋맵스아시아퍼시픽부동산공모1호,맵스리얼티1
KR7100790005,100790,미래에셋벤처투자,미래에셋벤처투자
KR7085620003,85620,미래에셋생명보험보통주,미래에셋생명
KR7006801005,6805,미래에셋증권1우선주,미래에셋증권우
KR700680K019,00680K,미래에셋증권2우선주(신형),미래에셋증권2우B
KR7006800007,6800,미래에셋증권보통주,미래에셋증권
KR7208890004,208890,미래엔에듀파트너,미래엔에듀파트너
KR7049950009,49950,미래컴퍼니,미래컴퍼니
KR7207760000,207760,미스터블루,미스터블루
KR7225850007,225850,미애부,미애부
KR7002840007,2840,미원상사보통주,미원상사
KR7268280005,268280,미원스페셜티케미칼보통주,미원에스씨
KR7107590002,107590,미원홀딩스 보통주,미원홀딩스
KR7134380005,134380,미원화학보통주,미원화학
KR7003650009,3650,미창석유공업보통주,미창석유
KR7059090001,59090,미코,미코
KR7214610008,214610,미코바이오메드,미코바이오메드
KR7201490000,201490,미투온,미투온
KR8344390008,950190,미투젠,미투젠
KR7214180002,214180,민앤지,민앤지
KR7155900004,155900,바다로19호선박투자회사,바다로19호
KR7206640005,206640,바디텍메드,바디텍메드
KR7018700005,18700,바른손,바른손
KR7035620004,35620,바른손이앤에이,바른손이앤에이
KR7064520000,64520,바른전자,바른전자
KR7053030003,53030,바이넥스,바이넥스
KR7301300000,301300,바이브컴퍼니,바이브컴퍼니
KR7064550007,64550,바이오니아,바이오니아
KR7314930009,314930,바이오다인,바이오다인
KR7208710004,208710,바이오로그디바이스,바이오로그디바이스
KR7142760008,142760,바이오리더스,바이오리더스
KR7086820008,86820,바이오솔루션,바이오솔루션
KR7038460002,38460,바이오스마트,바이오스마트
KR7281310003,281310,바이오시네틱스,바이오시네틱스
KR7251120002,251120,바이오에프디엔씨,바이오에프디엔씨
KR7266470004,266470,바이오인프라생명과학,바이오인프라생명과학
KR7086040003,86040,바이오톡스텍,바이오톡스텍
KR7199290008,199290,바이오프로테크,바이오프로테크
KR7099430001,99430,바이오플러스,바이오플러스
KR7032980005,32980,바이온,바이온
KR7222160004,222160,바이옵트로,바이옵트로
KR7308080001,308080,바이젠셀,바이젠셀
KR7043150002,43150,바텍,바텍
KR7323990002,323990,박셀바이오,박셀바이오
KR7003610003,3610,방림보통주,방림
KR7267790004,267790,배럴,배럴
KR7001340009,1340,백광산업보통주,백광산업
KR7046310009,46310,백금티앤에이,백금T&A
KR7035150002,35150,백산보통주,백산
KR7066410002,66410,버킷스튜디오,버킷스튜디오
KR7002410009,2410,범양건영보통주,범양건영
KR7206400004,206400,베노홀딩스,베노홀딩스
KR7019010008,19010,베뉴지,베뉴지
KR7322190000,322190,베른,베른
KR7177350006,177350,베셀,베셀
KR7299910000,299910,베스파,베스파
KR7007210008,7210,벽산보통주,벽산
KR7225530005,225530,보광산업,보광산업
KR7250000007,250000,보라티알,보라티알
KR7002760007,2760,보락보통주,보락
KR7003850005,3850,보령제약보통주,보령제약
KR7006910004,6910,보성파워텍,보성파워텍
KR7000890004,890,보해양조보통주,보해양조
KR7226340008,226340,본느,본느
KR7206950008,206950,볼빅,볼빅
KR7008470007,8470,부-스타,부스타
KR7003000007,3000,부광약품보통주,부광약품
KR7001271006,1275,부국증권1우선주,부국증권우
KR7001270008,1270,부국증권보통주,부국증권
KR7026940007,26940,부국철강 보통주,부국철강
KR7014470009,14470,부방,부방
KR7011390002,11390,부산산업보통주,부산산업
KR7005030002,5030,부산주공보통주,부산주공
KR7338220007,338220,뷰노,뷰노
KR7100120005,100120,뷰웍스,뷰웍스
KR7337930002,337930,브랜드엑스코퍼레이션,브랜드엑스코퍼레이션
KR7099390007,99390,브레인즈컴퍼니,브레인즈컴퍼니
KR7064480007,64480,브리지텍,브리지텍
KR7288330004,288330,브릿지바이오테라퓨틱스,브릿지바이오테라퓨틱스
KR7365900000,365900,브이씨,브이씨
KR7251630000,251630,브이원텍,브이원텍
KR7018290007,18290,브이티지엠피,브이티지엠피
KR7044480002,44480,블루베리엔에프티,블루베리 NFT
KR7033560004,33560,블루콤,블루콤
KR7191600006,191600,블루탑,블루탑
KR7369370002,369370,블리츠웨이,블리츠웨이
KR7126340009,126340,비나텍,비나텍
KR7121800007,121800,비덴트,비덴트
KR7148140007,148140,비디아이,비디아이
KR7082800004,82800,비보존 헬스케어,비보존 헬스케어
KR7318410008,318410,비비씨,비비씨
KR7002070001,2070,비비안보통주,비비안
KR7100220003,100220,비상교육 보통주,비상교육
KR7146320007,146320,비씨엔씨,비씨엔씨
KR7200780005,200780,비씨월드제약,비씨월드제약
KR7141000000,141000,비아트론,비아트론
KR7090460007,90460,비에이치,비에이치
KR7083650002,83650,비에이치아이,비에이치아이
KR7215050006,215050,비엔디생활건강,비엔디생활건강
KR7032790008,32790,비엔지티,BNGT
KR7086670007,86670,비엠티,비엠티
KR7335890000,335890,비올,비올
KR7138580006,138580,비즈니스온커뮤니케이션,비즈니스온
KR7082920000,82920,비츠로셀,비츠로셀
KR7054220009,54220,비츠로시스,비츠로시스
KR7042370007,42370,비츠로테크,비츠로테크
KR7030790000,30790,비케이탑스보통주,비케이탑스
KR7307870006,307870,비투엔,비투엔
KR7357880004,357880,비트나인,비트나인
KR7032850000,32850,비트컴퓨터,비트컴퓨터
KR7148780000,148780,비플라이소프트,비플라이소프트
KR7238200000,238200,비피도,비피도
KR7093190007,93190,빅솔론,빅솔론
KR7065450009,65450,빅텍,빅텍
KR7210120002,210120,빅토리콘텐츠,빅텐츠
KR7005180005,5180,빙그레보통주,빙그레
KR7072950009,72950,빛샘전자,빛샘전자
KR7266170000,266170,뿌리깊은나무들,뿌리깊은나무들
KR7143240000,143240,사람인에이치알,사람인에이치알
KR7003960002,3960,사조대림보통주,사조대림
KR7008040008,8040,사조동아원보통주,사조동아원
KR7007160005,7160,사조산업보통주,사조산업
KR7014710008,14710,사조씨푸드보통주,사조씨푸드
KR7006090005,6090,사조오양보통주,사조오양
KR7100090000,100090,삼강엠앤티,삼강엠앤티
KR7122350002,122350,삼기,삼기
KR7014970008,14970,삼륭물산,삼륭물산
KR7018310003,18310,삼목에스폼,삼목에스폼
KR7053700001,53700,삼보모터스,삼보모터스
KR7009620006,9620,삼보산업,삼보산업
KR7023600000,23600,삼보판지,삼보판지
KR7001470004,1470,삼부토건보통주,삼부토건
KR7006401004,6405,삼성SDI1우선주,삼성SDI우
KR7006400006,6400,삼성SDI보통주,삼성SDI
KR7006660005,6660,삼성공조보통주,삼성공조
KR7377630009,377630,삼성기업인수목적4호,삼성스팩4호
KR7380320002,380320,삼성머스트기업인수목적5호,삼성머스트스팩5호
KR702826K016,02826K,삼성물산1우선주(신형),삼성물산우B
KR7028260008,28260,삼성물산보통주,삼성물산
KR7207940008,207940,삼성바이오로직스보통주,삼성바이오로직스
KR7032830002,32830,삼성생명보험보통주,삼성생명
KR7018260000,18260,삼성에스디에스보통주,삼성에스디에스
KR7028050003,28050,삼성엔지니어링보통주,삼성엔지니어링
KR7009151002,9155,삼성전기1우선주,삼성전기우
KR7009150004,9150,삼성전기보통주,삼성전기
KR7005931001,5935,삼성전자1우선주,삼성전자우
KR7005930003,5930,삼성전자보통주,삼성전자
KR7001360007,1360,삼성제약,삼성제약
KR7010141000,10145,삼성중공업1우선주,삼성중공우
KR7010140002,10140,삼성중공업보통주,삼성중공업
KR7016360000,16360,삼성증권보통주,삼성증권
KR7068290006,68290,삼성출판사보통주,삼성출판사
KR7029780004,29780,삼성카드 보통주,삼성카드
KR7000811000,815,삼성화재해상보험1우선주,삼성화재우
KR7000810002,810,삼성화재해상보험보통주,삼성화재
KR7006110001,6110,삼아알미늄보통주,삼아알미늄
KR7009300005,9300,삼아제약,삼아제약
KR7145991006,145995,삼양사1우선주,삼양사우
KR7145990008,145990,삼양사보통주,삼양사
KR7003230000,3230,삼양식품보통주,삼양식품
KR7225190008,225190,삼양옵틱스,삼양옵틱스
KR7002170009,2170,삼양통상보통주,삼양통상
KR7272550005,272550,삼양패키징보통주,삼양패키징
KR7000071001,75,삼양홀딩스1우선주,삼양홀딩스우
KR7000070003,70,삼양홀딩스보통주,삼양홀딩스
KR7060310000,60310,삼에스코리아,3S
KR7002810000,2810,삼영무역보통주,삼영무역
KR7361670003,361670,삼영에스앤씨,삼영에스앤씨
KR7054540000,54540,삼영엠텍,삼영엠텍
KR7065570004,65570,삼영이엔씨,삼영이엔씨
KR7005680004,5680,삼영전자공업보통주,삼영전자
KR7003720000,3720,삼영화학공업보통주,삼영화학
KR7023000003,23000,삼원강재 보통주,삼원강재
KR7004380002,4380,삼익THK보통주,삼익THK
KR7002450005,2450,삼익악기보통주,삼익악기
KR7032280000,32280,삼일,삼일
KR7002290005,2290,삼일기업공사,삼일기업공사
KR7004440004,4440,삼일씨엔에스보통주,삼일씨엔에스
KR7000520007,520,삼일제약보통주,삼일제약
KR7009770009,9770,삼정펄프 보통주,삼정펄프
KR7037460003,37460,삼지전자,삼지전자
KR7032750002,32750,삼진,삼진
KR7054090006,54090,삼진엘앤디,삼진엘앤디
KR7005500004,5500,삼진제약보통주,삼진제약
KR7000250001,250,삼천당제약,삼천당제약
KR7004690004,4690,삼천리보통주,삼천리
KR7024950008,24950,삼천리자전거,삼천리자전거
KR7038500005,38500,삼표시멘트,삼표시멘트
KR7017480005,17480,삼현철강,삼현철강
KR7010960003,10960,삼호개발 보통주,삼호개발
KR7046390001,46390,삼화네트웍스,삼화네트웍스
KR7004450003,4450,삼화왕관보통주,삼화왕관
KR7009470006,9470,삼화전기보통주,삼화전기
KR7011230000,11230,삼화전자공업보통주,삼화전자
KR7001820000,1820,삼화콘덴서공업보통주,삼화콘덴서
KR7000390005,390,삼화페인트공업보통주,삼화페인트
KR7027580000,27580,상보,상보
KR7038540001,38540,상상인,상상인
KR7329560007,329560,상상인이안제2호기업인수목적,상상인이안제2호스팩
KR7101000008,101000,상상인인더스트리,상상인인더스트리
KR7001290006,1290,상상인증권보통주,상상인증권
KR7041650003,41650,상신브레이크보통주,상신브레이크
KR7091580001,91580,상신이디피,상신이디피
KR7263810004,263810,상신전자,상신전자
KR7089980007,89980,상아프론테크,상아프론테크
KR7042940007,42940,상지카일룸,상지카일룸
KR7042600007,42600,새로닉스,새로닉스
KR7075180000,75180,새론오토모티브,새론오토모티브
KR7252990007,252990,샘씨엔에스,샘씨엔에스
KR7263540007,263540,샘코,샘코
KR7007540008,7540,샘표보통주,샘표
KR7248170003,248170,샘표식품보통주,샘표식품
KR7294630009,294630,서남,서남
KR7038070009,38070,서린바이오사이언스,서린바이오
KR7006730006,6730,서부티엔디,서부T&D
KR7079650008,79650,서산,서산
KR7100660000,100660,서암기계공업,서암기계공업
KR7007860000,7860,서연보통주,서연
KR7200880003,200880,서연이화보통주,서연이화
KR7019770007,19770,서연탑메탈,서연탑메탈
KR7017390006,17390,서울도시가스보통주,서울가스
KR7043710003,43710,서울리거,서울리거
KR7092190008,92190,서울바이오시스,서울바이오시스
KR7046890000,46890,서울반도체,서울반도체
KR7004411005,4415,서울식품공업1우선주,서울식품우
KR7004410007,4410,서울식품공업보통주,서울식품
KR7063170005,63170,서울옥션,서울옥션
KR7027040005,27040,서울전자통신,서울전자통신
KR7018680009,18680,서울제약,서울제약
KR7021050000,21050,서원보통주,서원
KR7093920007,93920,서원인텍,서원인텍
KR7189860000,189860,서전기전,서전기전
KR7178320008,178320,서진시스템,서진시스템
KR7122690001,122690,서진오토모티브,서진오토모티브
KR7140070004,140070,서플러스글로벌,서플러스글로벌
KR7011370004,11370,서한,서한
KR7065710006,65710,서호전기,서호전기
KR7008490005,8490,서흥보통주,서흥
KR7035890003,35890,서희건설,서희건설
KR7357550003,357550,석경에이티,석경에이티
KR7003100005,3100,선광,선광
KR7123420002,123420,선데이토즈,선데이토즈
KR7007610009,7610,선도전기보통주,선도전기
KR7067370007,67370,선바이오,선바이오
KR7002820009,2820,선앤엘보통주,SUN&L
KR7171090004,171090,선익시스템,선익시스템
KR7136490000,136490,선진보통주,선진
KR7086710001,86710,선진뷰티사이언스,선진뷰티사이언스
KR7014620009,14620,성광벤드,성광벤드
KR7037350006,37350,성도이엔지,성도이엔지
KR7014911002,14915,성문전자1우선주,성문전자우
KR7014910004,14910,성문전자보통주,성문전자
KR7003080009,3080,성보화학보통주,성보화학
KR7004981007,4985,성신양회1우선주,성신양회우
KR7004980009,4980,성신양회보통주,성신양회
KR7011300001,11300,성안보통주,성안
KR7081580003,81580,성우전자,성우전자
KR7045300001,45300,성우테크론,성우테크론
KR7015750003,15750,성우하이텍,성우하이텍
KR7000180000,180,성창기업지주보통주,성창기업지주
KR7080470008,80470,성창오토텍,성창오토텍
KR7043260009,43260,성호전자,성호전자
KR7148150006,148150,세경하이테크,세경하이테크
KR7002420008,2420,세기상사보통주,세기상사
KR7053060000,53060,세동,세동
KR7340440007,340440,세림비앤지,세림B&G
KR7017510009,17510,세명전기공업,세명전기
KR7004361002,4365,세방1우선주,세방우
KR7004360004,4360,세방보통주,세방
KR7004490009,4490,세방전지보통주,세방전지
KR7011560000,11560,세보엠이씨,세보엠이씨
KR7001430008,1430,세아베스틸보통주,세아베스틸
KR7306200007,306200,세아제강보통주,세아제강
KR7003030004,3030,세아제강지주보통주,세아제강지주
KR7019440007,19440,세아특수강보통주,세아특수강
KR7058650003,58650,세아홀딩스보통주,세아홀딩스
KR7052190006,52190,세영디앤씨,세영디앤씨
KR7013000005,13000,세우글로벌보통주,세우글로벌
KR7100700004,100700,세운메디칼,세운메디칼
KR7234100006,234100,세원,세원
KR7024830002,24830,세원물산,세원물산
KR7091090001,91090,세원이앤씨보통주,세원이앤씨
KR7021820006,21820,세원정공보통주,세원정공
KR7067830000,67830,세이브존I&C보통주,세이브존I&C
KR7033530007,33530,세종공업보통주,세종공업
KR7258830009,258830,세종메디칼,세종메디칼
KR7036630002,36630,세종텔레콤,세종텔레콤
KR7039310008,39310,세중,세중
KR7075580001,75580,세진중공업보통주,세진중공업
KR7067770008,67770,세진티에스,세진티에스
KR7053450003,53450,세코닉스,세코닉스
KR7234340008,234340,세틀뱅크,세틀뱅크
KR7027970003,27970,세하보통주,세하
KR7252500004,252500,세화피앤씨,세화피앤씨
KR7347000002,347000,센코,센코
KR7308170000,308170,센트랄모텍보통주,센트랄모텍
KR7012600003,12600,센트럴인사이트보통주,센트럴인사이트
KR7331920009,331920,셀레믹스,셀레믹스
KR7049180003,49180,셀루메드,셀루메드
KR7299660001,299660,셀리드,셀리드
KR7268600004,268600,셀리버리,셀리버리
KR7108860008,108860,셀바스에이아이,셀바스AI
KR7208370007,208370,셀바스헬스케어,셀바스헬스케어
KR7258250000,258250,셀젠텍,셀젠텍
KR7068270008,68270,셀트리온보통주,셀트리온
KR7068760008,68760,셀트리온제약,셀트리온제약
KR7091990002,91990,셀트리온헬스케어,셀트리온헬스케어
KR7290690007,290690,소룩스,소룩스
KR7053110003,53110,소리바다,소리바다
KR8840150005,950200,소마젠,소마젠
KR7032680001,32680,소프트센,소프트센
KR7032681009,32685,소프트센1우선주,소프트센우
KR7258790005,258790,소프트캠프,소프트캠프
KR7066910001,66910,손오공,손오공
KR7043100007,43100,솔고바이오메디칼,솔고바이오
KR733637K010,33637K,솔루스첨단소재1우선주,솔루스첨단소재1우
KR733637K028,33637L,솔루스첨단소재2우선주(신형),솔루스첨단소재2우B
KR7336370002,336370,솔루스첨단소재보통주,솔루스첨단소재
KR7154040000,154040,솔루에타,솔루에타
KR7248070005,248070,솔루엠보통주,솔루엠
KR7035610005,35610,솔본,솔본
KR7357780006,357780,솔브레인,솔브레인
KR7036830008,36830,솔브레인홀딩스,솔브레인홀딩스
KR7304100001,304100,솔트룩스,솔트룩스
KR7004430005,4430,송원산업보통주,송원산업
KR7086980000,86980,쇼박스,쇼박스
KR7050960004,50960,수산아이앤티,수산아이앤티
KR7017550005,17550,수산중공업보통주,수산중공업
KR7084180009,84180,수성이노베이션,수성이노베이션
KR7253840003,253840,수젠텍,수젠텍
KR7236200002,236200,슈프리마,슈프리마
KR7317770006,317770,슈프리마아이디,슈프리마아이디
KR7094840006,94840,슈프리마에이치큐,슈프리마에이치큐
KR7192440006,192440,슈피겐코리아,슈피겐코리아
KR7099440000,99440,스맥,스맥
KR7033790007,33790,스카이문스테크놀로지,스카이문스테크놀로지
KR7276040003,276040,스코넥엔터테인먼트,스코넥
KR7159910009,159910,스킨앤스킨,스킨앤스킨
KR7115570004,115570,스타플렉스,스타플렉스
KR7258540004,258540,스템랩,스템랩
KR7330730003,330730,스톤브릿지벤처스,스톤브릿지벤처스
KR7204630008,204630,스튜디오 산타클로스 엔터테인먼트,스튜디오산타클로스
KR7253450001,253450,스튜디오드래곤 주식회사,스튜디오드래곤
KR7026890004,26890,스틱인베스트먼트보통주,스틱인베스트먼트
KR7013810007,13810,스페코,스페코
KR7039670005,39670,스포츠서울,스포츠서울
KR7049830003,49830,승일,승일
KR7020710000,20710,시공테크,시공테크
KR7033170002,33170,시그네틱스,시그네틱스
KR7260870001,260870,시그넷이브이,시그넷이브이
KR7048870000,48870,시너지이노베이션,시너지이노베이션
KR7025320003,25320,시노펙스,시노펙스
KR7134790005,134790,시디즈보통주,시디즈
KR7269620001,269620,시스웍,시스웍
KR7131090003,131090,시큐브,시큐브
KR7232830000,232830,시큐센,시큐센
KR7139050009,139050,시티랩스,시티랩스
KR7016590002,16590,신대양제지보통주,신대양제지
KR7290520006,290520,신도기연,신도기연
KR7029530003,29530,신도리코보통주,신도리코
KR7004970000,4970,신라교역보통주,신라교역
KR7001000009,1000,신라섬유,신라섬유
KR7025870007,25870,신라에스지,신라에스지
KR7215600008,215600,신라젠,신라젠
KR7065350001,65350,신성델타테크,신성델타테크
KR7011930005,11930,신성이엔지보통주,신성이엔지
KR7005390000,5390,신성통상보통주,신성통상
KR7034300004,34300,신세계건설,신세계건설
KR7004170007,4170,신세계보통주,신세계
KR7035510007,35510,신세계아이앤씨 보통주,신세계 I&C
KR7031430002,31430,신세계인터내셔날보통주,신세계인터내셔날
KR7031440001,31440,신세계푸드보통주,신세계푸드
KR7006880009,6880,신송홀딩스보통주,신송홀딩스
KR7002800001,2800,신신제약,신신제약
KR7005800008,5800,신영와코루보통주,신영와코루
KR7001721000,1725,신영증권1우선주,신영증권우
KR7001720002,1720,신영증권보통주,신영증권
KR7323280008,323280,신영해피투모로우제5호기업인수목적,신영스팩5호
KR7344050000,344050,신영해피투모로우제6호기업인수목적,신영스팩6호
KR7009271008,9275,신원1우선주,신원우
KR7009270000,9270,신원보통주,신원
KR7017000001,17000,신원종합개발,신원종합개발
KR7002700003,2700,신일전자보통주,신일전자
KR7012790002,12790,신일제약,신일제약
KR7138070008,138070,신진에스엠,신진에스엠
KR7226330009,226330,신테카바이오,신테카바이오
KR7019171008,19175,신풍제약1우선주,신풍제약우
KR7019170000,19170,신풍제약보통주,신풍제약
KR7002870004,2870,신풍제지보통주,신풍제지
KR7055550008,55550,신한금융지주회사보통주,신한지주
KR7404990004,404990,신한서부티엔디리츠보통주,신한서부티엔디리츠
KR7293940003,293940,신한알파리츠보통주,신한알파리츠
KR7333050003,333050,신한제6호기업인수목적,신한제6호스팩
KR7366330009,366330,신한제7호기업인수목적,신한제7호스팩
KR7393360003,393360,신한제8호기업인수목적,신한제8호스팩
KR7056700008,56700,신화인터텍,신화인터텍
KR7187270004,187270,신화콘텍,신화콘텍
KR7004080008,4080,신흥보통주,신흥
KR7243840006,243840,신흥에스이씨,신흥에스이씨
KR7257720003,257720,실리콘투,실리콘투
KR7222800005,222800,심텍,심텍
KR7036710002,36710,심텍홀딩스,심텍홀딩스
KR7160980009,160980,싸이맥스,싸이맥스
KR7356890004,356890,싸이버원,싸이버원
KR7217330000,217330,싸이토젠,싸이토젠
KR7102280005,102280,쌍방울,쌍방울
KR7003410008,3410,쌍용C&E보통주,쌍용C&E
KR7003620002,3620,쌍용자동차보통주,쌍용차
KR7010280006,10280,쌍용정보통신,쌍용정보통신
KR7004770004,4770,써니전자보통주,써니전자
KR7217320001,217320,썬테크,썬테크
KR7208640003,208640,썸에이지,썸에이지
KR7222420002,222420,쎄노텍,쎄노텍
KR7037760006,37760,쎄니트,쎄니트
KR7099320004,99320,쎄트렉아이,쎄트렉아이
KR7015540008,15540,쎌마테라퓨틱스보통주,쎌마테라퓨틱스
KR7049960008,49960,쎌바이오텍,쎌바이오텍
KR7050890003,50890,쏠리드,쏠리드
KR7013720008,13720,씨비아이,CBI
KR7066790007,66790,씨씨에스충북방송,씨씨에스
KR7222080004,222080,씨아이에스,씨아이에스
KR7004920005,4920,씨아이테크보통주,씨아이테크
KR7236030003,236030,씨알푸드,씨알푸드
KR7103660007,103660,씨앗,씨앗
KR7352480008,352480,씨앤씨인터내셔널,씨앤씨인터내셔널
KR7245450002,245450,씨앤에스링크,씨앤에스링크
KR7023460009,23460,씨앤에이치,CNH
KR7264660002,264660,씨앤지하이테크,씨앤지하이테크
KR7352700009,352700,씨앤투스성진,씨앤투스성진
KR7056730005,56730,씨앤티85,CNT85
KR7065770000,65770,씨에스,CS
KR7297090003,297090,씨에스베어링,씨에스베어링
KR7083660001,83660,씨에스에이코스믹,CSA 코스믹
KR7112610001,112610,씨에스윈드보통주,씨에스윈드
KR7359090008,359090,씨엔알리서치,씨엔알리서치
